text,source,label,severity,language,text_clean
Othaa paithyam pudichirchaa,whatsapp,,,English,othaa paithyam pudichirchaa
Unaku thanda vela punda ilama pesitu iruka thevadiya poi hostel la naalu peru kuda padutha kuda kaasu sambaari da,whatsapp,,,Tanglish,unaku thanda vela punda ilama pesitu iruka thevadiya poi hostel naalu peru kuda padutha kuda kaasu sambaari
Nee thanda thevadiya hostel la iruka thevadiya,whatsapp,,,English,nee thanda thevadiya hostel la iruka thevadiya
Elarumey una verified thevadiya ah approve pani una oothutu thane irukaga,whatsapp,,,English,elarumey una verified thevadiya ah approve pani una oothutu thane irukaga
Enga da karthi kuda paduka potiya,whatsapp,,,Tanglish,enga karthi kuda paduka potiya
Nee thane top tier item anga,whatsapp,,,English,nee thane top tier item anga
Neeye oru potta thanda,whatsapp,,,English,neeye oru potta thanda
"Epo da normal human being ah vaala pora, thevadiya maariye irukatha da",whatsapp,,,Tanglish,epo normal human vaala pora thevadiya maariye irukatha
Bitch,whatsapp,,,English,bitch
Bala Selected Doi,whatsapp,,,English,bala selected doi
Reference lam venam da monthly 1k or 500 anupu,whatsapp,,,English,reference lam venam da monthly 1k 500 anupu
Next month,whatsapp,,,English,next month
Pg bus travels kea 12 acchuda,whatsapp,,,English,pg bus travels kea 12 acchuda
Lcu illa da,whatsapp,,,Tanglish,lcu illa
"Office la orruthan kuptu, nalla illa nu sollranda",whatsapp,,,Tanglish,office orruthan kuptu nalla illa sollranda
1st half slow ah pogum,whatsapp,,,English,1st half slow ah pogum
Mathan ae code send panu fa,whatsapp,,,English,mathan ae code send panu fa
Dei lavade phone edu da item kaara thaiyolo,whatsapp,,,Tanglish,lavade phone edu item kaara thaiyolo
Pubg ஆல் பாதிக்கபட்ட நபர்கள்,whatsapp,,,Tamil,Pubg ஆல் பாதிக்கபட்ட நபர்கள்
All clear,whatsapp,,,English,clear
Nalla erukaen da,whatsapp,,,Tanglish,nalla erukaen
Phone eduka matran <This message was edited>,whatsapp,,,English,phone eduka matran message edited
2.5 ah ila evlo da,whatsapp,,,Tanglish,ila evlo
Dei evlo da fees uh ?,whatsapp,,,Tanglish,evlo fees uh
Yanna da onume Puriyala,whatsapp,,,Tanglish,yanna onume puriyala
Earphone,whatsapp,,,English,earphone
Evlo da fees uh ?,whatsapp,,,Tanglish,evlo fees uh
"Varuthu , website la paatha crct ah theriyum",whatsapp,,,English,varuthu website la paatha crct ah theriyum
Pussy privilege,whatsapp,,,English,pussy privilege
2150 if one paper waved,whatsapp,,,English,2150 one paper waved
"Anney power use panitaru da thols , athu tha… inimey annan tha pooley",whatsapp,,,English,anney power use panitaru da thols athu tha inimey annan tha pooley
Intha sem etha paper,whatsapp,,,English,intha sem etha paper
No missed and improvement test,whatsapp,,,English,missed improvement test
November 3 thott model,whatsapp,,,English,november thott model
nee it vera aalunga bro,whatsapp,,,Tanglish,nee vera aalunga
Happy birthday @⁨Clg RaGaVaN⁩,whatsapp,,,English,happy birthday clg ragavan
Na ippo tha machi thooga poren,whatsapp,,,English,na ippo tha machi thooga poren
Happy birthday machi✨,whatsapp,,,English,happy birthday machi
Happy Birthday da 🫂@⁨Clg RaGaVaN⁩,whatsapp,,,English,happy birthday da clg ragavan
Thanks guys🙏,whatsapp,,,English,thanks guys
Happy Birthday da @⁨Clg RaGaVaN⁩ ✨🎉,whatsapp,,,English,happy birthday da clg ragavan
Happy Birthday da @⁨Clg RaGaVaN⁩ 🎉🎂,whatsapp,,,English,happy birthday da clg ragavan
Oh sari da machi,whatsapp,,,Tanglish,machi
That is the answer for your question,whatsapp,,,English,answer question
Machi advance thara sollu,whatsapp,,,English,machi advance thara sollu
Those who are doing internship also should attend this without fail,whatsapp,,,English,internship also attend without fail
Ena da ivana vechitu elavu pundaiya iruku,whatsapp,,,Tanglish,ena ivana vechitu elavu pundaiya iruku
Intern nama than panurom aprm iitm boys,whatsapp,,,English,intern nama panurom aprm iitm boys
Thevadiya jagan da avan,whatsapp,,,Tanglish,thevadiya jagan avan
Nee attend pandriya,whatsapp,,,English,nee attend pandriya
Neega solrathu tha,whatsapp,,,English,neega solrathu tha
Jintha potta,whatsapp,,,English,jintha potta
Athuku nama office la poi pesanummm,whatsapp,,,English,athuku nama office la poi pesanummm
Thrla machi en aalu epo varalo atha poruthu thaan,whatsapp,,,English,thrla machi en aalu epo varalo atha poruthu thaan
Padiga da padiga da nuuuu solren ketigala daa,whatsapp,,,Tanglish,padiga padiga nuuuu solren ketigala daa
Enna da punda,whatsapp,,,Tanglish,enna punda
Enna da athula mistake,whatsapp,,,Tanglish,enna athula mistake
Dai kuthi enna da solla vara,whatsapp,,,Tanglish,dai kuthi enna solla vara
Shit fine specimen,whatsapp,,,English,shit fine specimen
In Home,whatsapp,,,English,home
Thursday,whatsapp,,,English,thursday
Friday any works irutha finish pananum like no due..,whatsapp,,,English,friday works irutha finish pananum like due
Hostel la outpass tharala,whatsapp,,,English,hostel la outpass tharala
Final year project report submission,whatsapp,,,English,final year project report submission
"Sootha adika kooptanga, avinga sootha adichu amchuvitten <This message was edited>",whatsapp,,,English,sootha adika kooptanga avinga sootha adichu amchuvitten message edited
Conference,whatsapp,,,English,conference
Ama da mapla,whatsapp,,,Tanglish,ama mapla
Course is completed any certificate okay 👍🏻,whatsapp,,,English,course completed certificate okay
Completed course la entha certificate naalum okay ahm,whatsapp,,,English,completed course la entha certificate naalum okay ahm
Direct meaning 😂,whatsapp,,,English,direct meaning
Dai athu puriyuthu but elarum completed course count thanae podrom,whatsapp,,,English,dai athu puriyuthu elarum completed course count thanae podrom
Complete na certificate erukurathu thanae,whatsapp,,,English,complete na certificate erukurathu thanae
Theriyala da college grp kula type pana phone hang aaguthu,whatsapp,,,Tanglish,theriyala college grp kula type pana phone hang aaguthu
Your Phone is allergetic for clg grp pola,whatsapp,,,English,phone allergetic clg grp pola
Naney allergic tha dept ku,whatsapp,,,English,naney allergic tha dept ku
Theriyum da en junni,whatsapp,,,Tanglish,theriyum en junni
Enna da achi unnaku,whatsapp,,,Tanglish,enna achi unnaku
Machi ellam mark evlo da,whatsapp,,,Tanglish,machi ellam mark evlo
Otha,whatsapp,,,English,otha
Sari vanthu ombu,whatsapp,,,Tanglish,vanthu ombu
Awesome bro 👍🏿,whatsapp,,,English,awesome bro
B illana B + varum da <This message was edited>,whatsapp,,,English,illana varum da message edited
Varathu varathu,whatsapp,,,English,varathu varathu
Ena da enenamo Iruku 😂,whatsapp,,,Tanglish,ena enenamo iruku
Illa da,whatsapp,,,Tanglish,illa
Machi avan peru jegaynesan da,whatsapp,,,Tanglish,machi avan peru jegaynesan
Juspay drive,whatsapp,,,English,juspay drive
2girls 1 cup maojjj ae fanatsyy tha,whatsapp,,,English,2girls cup maojjj ae fanatsyy tha
Aprom enna pundaiku da enga varinga,whatsapp,,,Tanglish,aprom enna pundaiku enga varinga
poi reels paru da punda,whatsapp,,,Tanglish,poi reels paru punda
Illa da on sotta kunja,whatsapp,,,Tanglish,illa sotta kunja
Sotta kunju than nalla erukum nu avan solran,whatsapp,,,Tanglish,sotta kunju nalla erukum avan solran
result published nu mail vanthucha,whatsapp,,,English,result published nu mail vanthucha
Everyone are asked to submit the feedback from in the below form,whatsapp,,,English,everyone asked submit feedback form
peak of unemployment,whatsapp,,,English,peak unemployment
"Punda, nee msg panitu fast ah delete panita ana athukum replay panom la athu thanda peak of unemployment nu sonen",whatsapp,,,English,punda nee msg panitu fast ah delete panita ana athukum replay panom la athu thanda peak unemployment nu sonen
Manoj is in love but I can't prove it,whatsapp,,,English,manoj love prove
Theriyum da Caller tune ketiya,whatsapp,,,Tanglish,theriyum caller tune ketiya
Nithish,whatsapp,,,English,nithish
Ne tha tha da vijay ahh ommbura,whatsapp,,,English,ne tha tha da vijay ahh ommbura
Illa yathukku sir love song Caller tune vachinka,whatsapp,,,Tanglish,illa yathukku sir love song caller tune vachinka
En love song committed tha kekanuma,whatsapp,,,English,en love song committed tha kekanuma
Avan bjp supporter da,whatsapp,,,Tanglish,avan bjp supporter
#manojcommited,whatsapp,,,English,manojcommited
Ne enna vena solliko ennaku enna poda,whatsapp,,,Tanglish,ne enna vena solliko ennaku enna poda
I am not in hostel,whatsapp,,,English,hostel
Ama da ana avan kaeturukan,whatsapp,,,Tanglish,ama ana avan kaeturukan
Name remove pandrathu pathi,whatsapp,,,English,name remove pandrathu pathi
Iruku da en junni,whatsapp,,,Tanglish,iruku en junni
Deiii kena pundaingala yenna da aachu,whatsapp,,,Tanglish,deiii kena pundaingala yenna aachu
"Na , thols lam varom heal panu",whatsapp,,,English,na thols lam varom heal panu
Christanavaney disturb seiyathey avana assault aaga enni vidatheyy,whatsapp,,,English,christanavaney disturb seiyathey avana assault aaga enni vidatheyy
Holy shit😂,whatsapp,,,English,holy shit
@⁨Clg Ahamed Meeran Dhanish⁩ intha 9 satan ah veliya thorathuga bhaii,whatsapp,,,English,clg ahamed meeran dhanish intha satan ah veliya thorathuga bhaii
@⁨Thols💫 Kuchi Naai⁩ yara da oopa ? Inga,whatsapp,,,Tanglish,thols kuchi naai yara oopa inga
Tami theriyum thane ?,whatsapp,,,English,tami theriyum thane
Gotha ?,whatsapp,,,English,gotha
En da sonathey thirupi thirupi solitu iruka thevadiya satan,whatsapp,,,English,en da sonathey thirupi thirupi solitu iruka thevadiya satan
Yedhaavudhu nalla kodiya paathu neeye thongiko onta dhaan punda Iruku,whatsapp,,,Tanglish,yedhaavudhu nalla kodiya paathu neeye thongiko onta dhaan punda iruku
Paathiya onnoda experience eh sollura,whatsapp,,,English,paathiya onnoda experience eh sollura
Na oomba maaten da una maari thevadiya tha vanthu oombu,whatsapp,,,Tanglish,oomba maaten una maari thevadiya tha vanthu oombu
"Dei electric eel ah un pundai la vitukoo, shock ley iru da punda manaveyy",whatsapp,,,Tanglish,electric eel un pundai vitukoo shock ley iru punda manaveyy
"Unaku rubber kunju kuda ila rubber pundaiya vachitu , thevadiya thanama road la suthitu iruka thane da , puluu kita poi oole vaangu",whatsapp,,,Tanglish,unaku rubber kunju kuda ila rubber pundaiya vachitu thevadiya thanama road suthitu iruka thane puluu kita poi oole vaangu
"Naai kita ole vaagitu , naai kudi la maatikita thane da nee ? En da naai kuda thevadiya thanam panuraaa",whatsapp,,,Tanglish,naai kita ole vaagitu naai kudi maatikita thane nee en naai kuda thevadiya thanam panuraaa
"Thevadiya un pundai la zoom ae iruku da , un pundai la vaai vaikatha animals ae ila da thevaidya munda , high class munda nu ranking la iruka nee",whatsapp,,,Tanglish,thevadiya un pundai zoom ae iruku un pundai vaai vaikatha animals ae ila thevaidya munda high class munda ranking iruka nee
Deii vera yosichu sollu naa solradhaiyey solra paaru,whatsapp,,,Tanglish,deii vera yosichu sollu naa solradhaiyey solra paaru
"Un pundaiya paaru da ole vaagi vaagi , ketu poiruchu vera pundaiya paaru. Una oothu oothu aii pora pipeline lam un punda la connect aagi athu la aii varuthu nu customer solraga",whatsapp,,,Tanglish,un pundaiya paaru ole vaagi vaagi ketu poiruchu vera pundaiya paaru una oothu oothu aii pora pipeline lam un punda connect aagi athu aii varuthu customer solraga
Oru manidhanaaala yepudii ipdi animals kitta oolu vaanga mudiyum nu nirubichuta da kena punda,whatsapp,,,Tanglish,oru manidhanaaala yepudii ipdi animals kitta oolu vaanga mudiyum nirubichuta kena punda
"Nirumi punda , un pundai la thanda aids corona lam vanthuchuu. Chinsese kaaran kita ole vaangituu enga da thediya maari pesitu irukaa",whatsapp,,,Tanglish,nirumi punda un pundai thanda aids corona lam vanthuchuu chinsese kaaran kita ole vaangituu enga thediya maari pesitu irukaa
Dei pulu kita ole vaaagitu ena da siripu da thevaidya ?,whatsapp,,,Tanglish,pulu kita ole vaaagitu ena siripu thevaidya
Nee dhaan china la irukura vavaal pool yellaathaiyum sappitu Inga vandhu yellaa poolaiyum sappii corona parappi vittuta da punda,whatsapp,,,Tanglish,nee dhaan china irukura vavaal pool yellaathaiyum sappitu inga vandhu yellaa poolaiyum sappii corona parappi vittuta punda
Nee sonthama yosika time tharenn,whatsapp,,,English,nee sonthama yosika time tharenn
Aprm ?,whatsapp,,,English,aprm
Vera yenna vela 😂,whatsapp,,,Tanglish,vera yenna vela
Evlo venum solu romba oombatha pouthum di munda … mudiyala da en suni ah romba kadikura,whatsapp,,,Tanglish,evlo venum solu romba oombatha pouthum munda mudiyala en suni romba kadikura
Tharen,whatsapp,,,English,tharen
Evlo neram da ippudi oombitu irupa ?,whatsapp,,,Tanglish,evlo neram ippudi oombitu irupa
"Dei pulu munda , vaai kuthi lam kilichiruven da suni romba oombitu irkathaaaaa",whatsapp,,,Tanglish,pulu munda vaai kuthi lam kilichiruven suni romba oombitu irkathaaaaa
Romba oombatha da pothum poi vera pool ah kadichitu iruuuu,whatsapp,,,Tanglish,romba oombatha pothum poi vera pool kadichitu iruuuu
Nee Vera animal kooda poi paduuu,whatsapp,,,Tanglish,nee vera animal kooda poi paduuu
Dei pothum da 🤣 romba nerama elar poolaiyum oombitey iruka pothum da,whatsapp,,,Tanglish,pothum romba nerama elar poolaiyum oombitey iruka pothum
"Una pool ae ila da punda, pulu mundaaa en di unachu susu aee suthu la irudhu thane varumm",whatsapp,,,Tanglish,una pool ae ila punda pulu mundaaa en unachu susu aee suthu irudhu thane varumm
Potta naai periods ooda irukum athu kundi ah sappu po inga romba neram en pool ah oombatha,whatsapp,,,Tanglish,potta naai periods ooda irukum athu kundi sappu po inga romba neram en pool oombatha
Indha paaru again again maathi solra paaru onaku punda dhaan Iruku sunni illa onnoda periya pundaila naa othutu iruken andha illusion la onaku sunni Iruka maari theriyudhu,whatsapp,,,Tanglish,indha paaru maathi solra paaru onaku punda dhaan iruku sunni illa onnoda periya pundaila naa othutu iruken andha illusion onaku sunni iruka maari theriyudhu
"Illusion la nee thanda iruka ? Pool ah sappu da na, sutha sapitu pee ah urinjitu iruka da thevadiya pundaaa, semi soli pee venum nu ketu en sutha sapitu irukaaa",whatsapp,,,Tanglish,illusion nee thanda iruka pool sappu sutha sapitu pee urinjitu iruka thevadiya pundaaa semi soli pee venum ketu en sutha sapitu irukaaa
Yenna pannadhaan da onnoda pundai satisfaction aagum,whatsapp,,,Tanglish,yenna pannadhaan onnoda pundai satisfaction aagum
Illusion create aaga arambichuduchu again😂,whatsapp,,,English,illusion create aaga arambichuduchu
En pee ah thinu seri airum,whatsapp,,,English,en pee ah thinu seri airum
Jeffin na suni ilatha motta munda nu oorukey theriyum da thevadiyaa,whatsapp,,,Tanglish,jeffin suni ilatha motta munda oorukey theriyum thevadiyaa
Nee oru ooru ootha baadu nu oorukey theriyum naa sollita Iruka mudiyum adhellaam😂,whatsapp,,,Tanglish,nee oru ooru ootha baadu oorukey theriyum naa sollita iruka mudiyum adhellaam
"Ama da , unaku pool iruku nu elaraiyum namba vachi romba nerama oombitu iruka",whatsapp,,,Tanglish,ama unaku pool iruku elaraiyum namba vachi romba nerama oombitu iruka
Sili munda da nee poda poi oormaa aalu,whatsapp,,,Tanglish,sili munda nee poda poi oormaa aalu
Evlo da neram unaku pool iruku nu aaluguva 🥲,whatsapp,,,Tanglish,evlo neram unaku pool iruku aaluguva
Cheri da unaku pool iruku da poda,whatsapp,,,Tanglish,cheri unaku pool iruku poda
Adhuvum chameleon kittalaam poi pudhusu pudhusaana color la dhaan yennoda pundaila oolu vaanganum nu vaanguriyaamey daa,whatsapp,,,Tanglish,adhuvum chameleon kittalaam poi pudhusu pudhusaana color dhaan yennoda pundaila oolu vaanganum vaanguriyaamey daa
"Cheri cheri da aalatha , innoru naal nerla vanthu oombiko",whatsapp,,,Tanglish,cheri cheri aalatha innoru naal nerla vanthu oombiko
Seri seri nee Adutha time pudhusa yedhaavudhu kandupiduchu vandhu sollu😂,whatsapp,,,Tanglish,nee adutha time pudhusa yedhaavudhu kandupiduchu vandhu sollu
Thevadiya enaku vela iruku da nee poi elaru kitiyum ole vaangitu iru da,whatsapp,,,Tanglish,thevadiya enaku vela iruku nee poi elaru kitiyum ole vaangitu iru
Po po better luck next time 😜😜😁,whatsapp,,,English,po po better luck next time
Nee ole vaangi kuda pass airuva da cuz nee top class munda da,whatsapp,,,Tanglish,nee ole vaangi kuda pass airuva cuz nee top class munda
Area la neriya potta naai ku periods irukam.. jeffin vaai tha athuku lam stayfree whisper ahm 🤣.. poi nala uri da munda <This message was edited>,whatsapp,,,Tanglish,area neriya potta naai ku periods irukam jeffin vaai tha athuku lam stayfree whisper ahm poi nala uri munda message edited
shivraj pathi pesathinga da inga than irukan,whatsapp,,,Tanglish,shivraj pathi pesathinga inga irukan
@⁨Nithish Ksr⁩,whatsapp,,,English,nithish ksr
Avan pool ah pudichi,whatsapp,,,English,avan pool ah pudichi
That 400,whatsapp,,,English,400
Athu tha mall tha pandra nu sollita machi 😂,whatsapp,,,English,athu tha mall tha pandra nu sollita machi
Ne avala patho <This message was edited>,whatsapp,,,English,ne avala patho message edited
Na clean shave la iruken,whatsapp,,,English,na clean shave la iruken
Machi yaravathu python mid level project vechuruntha send pannuga da,whatsapp,,,Tanglish,machi yaravathu python mid level project vechuruntha send pannuga
Queen bathing Area,whatsapp,,,English,queen bathing area
Enga da irukinga ?,whatsapp,,,Tanglish,enga irukinga
Season,whatsapp,,,English,season
Ila da yaaro vanguna maari nabagam...aana yaarunu therila,whatsapp,,,Tanglish,ila yaaro vanguna maari nabagam aana yaarunu therila
Theriyum da,whatsapp,,,Tanglish,theriyum
ஆடளும் பாடலும் நீகழ்ச்சி,whatsapp,,,Tamil,ஆடளும் பாடலும் நீகழ்ச்சி
Enda samanthamae illama enna adikuringa ?,whatsapp,,,Tanglish,enda samanthamae illama enna adikuringa
Caption: Girls only know why they avoid auto rides,whatsapp,,,English,caption girls know avoid auto rides
User not found,whatsapp,,,English,user found
Mathi send panni tholanjuran,whatsapp,,,English,mathi send panni tholanjuran
Machi epdi iruku,whatsapp,,,Tanglish,machi epdi iruku
1st half ultimate,whatsapp,,,English,1st half ultimate
Right uh,whatsapp,,,English,right uh
Nee over hyped ah poirukka twitter la reviews lam 4/4.5 irukku da,whatsapp,,,Tanglish,nee hyped poirukka twitter reviews lam irukku
4/5 tharalam,whatsapp,,,English,tharalam
2nd half emotional driven but dragged,whatsapp,,,English,2nd half emotional driven dragged
Rightu,whatsapp,,,English,rightu
Santhosh-Man,whatsapp,,,English,santhosh man
Gmail account <This message was edited>,whatsapp,,,English,gmail account message edited
Onnu illa macchi plagiarism check pannathu Muthu danish RaGaVaN keata antha grpla potea,whatsapp,,,English,onnu illa macchi plagiarism check pannathu muthu danish ragavan keata antha grpla potea
Intha padam ae super ah iruku da,whatsapp,,,Tanglish,intha padam ae super iruku
Dei mothama leak panranunga da,whatsapp,,,Tanglish,mothama leak panranunga
"Cameo,climax,intro, Thalapathy kacheri song uh",whatsapp,,,English,cameo climax intro thalapathy kacheri song uh
Antha leak pannuruvan ta motha padam um irukku da,whatsapp,,,Tanglish,antha leak pannuruvan ta motha padam um irukku
Serious ah da avan touch pannuran full runtime um theriyuthu,whatsapp,,,Tanglish,serious avan touch pannuran full runtime um theriyuthu
Better than beast,whatsapp,,,English,better beast
Avlo thaan da punda tamilmv la irukku😂,whatsapp,,,Tanglish,avlo thaan punda tamilmv irukku
Aana avanta full padam um irukku da machi,whatsapp,,,Tanglish,aana avanta full padam um irukku machi
Bro im watching it on theatre,whatsapp,,,English,bro im watching theatre
Harbour blast panurathu tha katha,whatsapp,,,English,harbour blast panurathu tha katha
Nithish thooku poda poran,whatsapp,,,English,nithish thooku poda poran
Machi varumbothu download pannitu vada,whatsapp,,,English,machi varumbothu download pannitu vada
Yan poola ombhatha,whatsapp,,,English,yan poola ombhatha
Downloading,whatsapp,,,English,downloading
Avlo tha,whatsapp,,,English,avlo tha
Downloaded 96%,whatsapp,,,English,downloaded 96
Morning 8 mani show,whatsapp,,,English,morning mani show
Nalla than da eruku,whatsapp,,,Tanglish,nalla eruku
DMK thayoli,whatsapp,,,English,dmk thayoli
Machiii vijay fans ajith fans lam aduthu da first ipdi leak aagirukurathu thappu nu ungalukeyy therium la da so itha support pandratha vidunga da yaarukkum share pannadhinga😊 <This message was edited>,whatsapp,,,Tanglish,machiii vijay fans ajith fans lam aduthu first ipdi leak aagirukurathu thappu ungalukeyy therium itha support pandratha vidunga yaarukkum share pannadhinga message edited
Dei leak pannadhe avanunga thaan da,whatsapp,,,Tanglish,leak pannadhe avanunga thaan
Enga aaley campa kudi themba iru nu solitu irukan nee vera,whatsapp,,,Tanglish,enga aaley campa kudi themba iru solitu irukan nee vera
Joke of this year 👍,whatsapp,,,English,joke year
Dei hd clip leak aairukku da,whatsapp,,,Tanglish,hd clip leak aairukku
Ithalam thalaivaa release apove paathaachi,whatsapp,,,English,ithalam thalaivaa release apove paathaachi
I think you guys respect the effort of creators but….👍🏻,whatsapp,,,English,think guys respect effort creators
Atha thanda solren,whatsapp,,,English,atha thanda solren
1st half finish,whatsapp,,,English,1st half finish
Pooja va poi aunty nu solitan da 🥲,whatsapp,,,Tanglish,pooja poi aunty solitan
Illa nethu konjam pathen,whatsapp,,,Tanglish,illa nethu konjam pathen
Dei link lam thookitanunga da,whatsapp,,,Tanglish,link lam thookitanunga
Nallathu,whatsapp,,,English,nallathu
Respect 💯🫂,whatsapp,,,English,respect
En da moan pandra nalla pesu da lavade,whatsapp,,,Tanglish,en moan pandra nalla pesu lavade
Inthada thols uh,whatsapp,,,English,inthada thols uh
Manasa thethikada machi election nambuluthu thaan 🇪🇸,whatsapp,,,English,manasa thethikada machi election nambuluthu thaan
Illa da padam nalla illa athan paakala,whatsapp,,,Tanglish,illa padam nalla illa athan paakala
Don't share anymore,whatsapp,,,English,share anymore
Bro link ketanga bro,whatsapp,,,Tanglish,link ketanga
Dei anilgala unga anna thanda padam ae leak panathu puritha ilaiya ??,whatsapp,,,Tanglish,anilgala unga thanda padam ae leak panathu puritha ilaiya
Add members kudutha contact dhan varuthu,whatsapp,,,English,add members kudutha contact dhan varuthu
Enna da ithu,whatsapp,,,Tanglish,enna ithu
athu oru flop movie atha vechi ne matikatha 🤣,whatsapp,,,English,athu oru flop movie atha vechi ne matikatha
that is not rerelease,whatsapp,,,English,rerelease
Antha record onga AK vala break pannave mutiyathu,whatsapp,,,English,antha record onga ak vala break pannave mutiyathu
Athu nalla padam da😂,whatsapp,,,Tanglish,athu nalla padam
First 300crs movie thanga,whatsapp,,,English,first 300crs movie thanga
Collection record sollra,whatsapp,,,English,collection record sollra
"oh unga pundanayagan , olenayagan , peenayagan, kunjunayagan, kanjinayagan mass da",whatsapp,,,Tanglish,unga pundanayagan olenayagan peenayagan kunjunayagan kanjinayagan mass
Hollywood remake thaana,whatsapp,,,English,hollywood remake thaana
machi antha aunty scence irrukala <This message was edited>,whatsapp,,,English,machi antha aunty scence irrukala message edited
"lokesh , nelson , atlee cameo mass tha",whatsapp,,,English,lokesh nelson atlee cameo mass tha
Mankatha maari vera yaathachi padam irukka AK ta,whatsapp,,,Tanglish,mankatha maari vera yaathachi padam irukka ak ta
ne enna pesanalum movie nalla illa avolo tha,whatsapp,,,Tanglish,ne enna pesanalum movie nalla illa avolo tha
antha last dance irrukala athula vathi coming varuthu 😂,whatsapp,,,English,antha last dance irrukala athula vathi coming varuthu
You will arrest bye,whatsapp,,,English,arrest bye
Gbu full and full copy thaaa own ahh athula story ehh illa vitta adutha epstein ehh avaruthaan dii sollama poningaey athuku varaikum sandhosam,whatsapp,,,English,gbu full full copy thaaa ahh athula story ehh illa vitta adutha epstein ehh avaruthaan dii sollama poningaey athuku varaikum sandhosam
Respect all the hardworkers every scene is a dream why bro🙏,whatsapp,,,Tanglish,respect hardworkers every scene dream
Ama da unga annan tha enga thala Suni ah oombuna video tha,whatsapp,,,Tanglish,ama unga annan tha enga thala suni oombuna video tha
Dont let them bark,whatsapp,,,English,dont let bark
Ole them,whatsapp,,,English,ole
First fans ku respect thara sollu AK va,whatsapp,,,English,first fans ku respect thara sollu ak va
Deii AK ku director ehh illa da <This message was edited>,whatsapp,,,Tanglish,deii ak ku director ehh illa message edited
Yapatiyum movie flop tha,whatsapp,,,English,yapatiyum movie flop tha
Yaaru da sonna 😂😂😂 veliya sollidatha da kumbal la adichuruvanga😂😂😂,whatsapp,,,Tanglish,yaaru sonna veliya sollidatha kumbal adichuruvanga
Unna alaporathu vijay tha,whatsapp,,,English,unna alaporathu vijay tha
Vijay tittle card>>> AK whole movie's,whatsapp,,,English,vijay tittle card ak whole movie
Anna cm anathum AK ku remote car irukku,whatsapp,,,Tanglish,cm anathum ak ku remote car irukku
don't worry,whatsapp,,,English,worry
Punda oorukeyy therium 😂😂😂,whatsapp,,,English,punda oorukeyy therium
Ava yappa field la iruntha,whatsapp,,,English,ava yappa field la iruntha
Mankatha orey movie tha,whatsapp,,,English,mankatha orey movie tha
Punda apdiyee maathitan solla vandhatha ponit illa nu…ajith ku vijay iruka peak ku poganum nu romba aasa nu avureyy solirukaru,whatsapp,,,Tanglish,punda apdiyee maathitan solla vandhatha ponit illa ajith ku vijay iruka peak ku poganum romba aasa avureyy solirukaru
Yanakkum time illa solla,whatsapp,,,Tanglish,yanakkum time illa solla
Sari vidu kasta padatha AK onum pudungaka nu ungalukeyy therium sari vidunga da alugathinga,whatsapp,,,Tanglish,vidu kasta padatha ak onum pudungaka ungalukeyy therium vidunga alugathinga
"Our main goal is Secular Social Justice,Political Transformation,Administrative & Social Reforms,Pirapukkum Ella Uyirkkum",whatsapp,,,English,main goal secular social justice political transformation administrative social reforms pirapukkum ella uyirkkum
Corruption iruku but development tu iruku bcs they have experience and connection only state in india to get double digit gdp growths,whatsapp,,,Tanglish,corruption iruku development tu iruku bcs experience connection state india get double digit gdp growths
This also vijay content tha,whatsapp,,,English,also vijay content tha
How is tvk going to bring development atha pathi engayume peslaye nothing about foreign investments and industry subsidies,whatsapp,,,English,tvk going bring development atha pathi engayume peslaye nothing foreign investments industry subsidies
"Ama da enaku aidmk dmk elam friends tha irukaga , ana inga pesurathu tvk aka vijay",whatsapp,,,Tanglish,ama enaku aidmk dmk elam friends tha irukaga ana inga pesurathu tvk aka vijay
Sad to hear,whatsapp,,,English,sad hear
Ama da anna gangbang,whatsapp,,,Tanglish,ama gangbang
Guys Nithish going reach his mutu limit for today,whatsapp,,,English,guys nithish going reach mutu limit today
#westandwithvijay,whatsapp,,,English,westandwithvijay
Points yoshichiya,whatsapp,,,English,points yoshichiya
Unna mari enngaluku work illaya <This message was edited>,whatsapp,,,English,unna mari enngaluku work illaya message edited
Enga side iruku nan biased ah sollirkalam,whatsapp,,,Tanglish,enga side iruku nan biased sollirkalam
Maranthutan avanga antha ooru majority caste aama kelvipatten,whatsapp,,,Tanglish,maranthutan avanga antha ooru majority caste aama kelvipatten
I was expecting a muttu,whatsapp,,,English,expecting muttu
tvk tha,whatsapp,,,English,tvk tha
Na oru thondana answer sollra,whatsapp,,,English,na oru thondana answer sollra
Machi padame 7 gb pudichiruchu da storage illayam <This message was edited>,whatsapp,,,English,machi padame gb pudichiruchu da storage illayam message edited
Caste ta appo madhurai yaaru covaiku yaaru irukka ethula,whatsapp,,,Tanglish,caste ta appo madhurai yaaru covaiku yaaru irukka ethula
Nan ketathu antha constituency,whatsapp,,,English,nan ketathu antha constituency
Caste vote ah vidunga da tvk voda first objective eh fans vote thaan da,whatsapp,,,Tanglish,caste vote vidunga tvk voda first objective fans vote thaan
Minors,whatsapp,,,English,minors
It's my opinion,whatsapp,,,English,opinion
Elarumey athey maari opinion ah tha solraga ney,whatsapp,,,English,elarumey athey maari opinion ah tha solraga ney
Dosa with sambar and boiled egg machi vaa sapduvom,whatsapp,,,English,dosa sambar boiled egg machi vaa sapduvom
Why da evlo sanda,whatsapp,,,Tanglish,evlo sanda
