text,text_clean,language,source,label,severity
Unaku thanda vela punda ilama pesitu iruka thevadiya poi hostel la naalu peru kuda padutha kuda kaasu sambaari da,unaku thanda vela punda ilama pesitu iruka thevadiya poi hostel naalu peru kuda padutha kuda kaasu sambaari,Tanglish,whatsapp,,
Nee thanda thevadiya hostel la iruka thevadiya,nee thanda thevadiya hostel la iruka thevadiya,English,whatsapp,,
Elarumey una verified thevadiya ah approve pani una oothutu thane irukaga,elarumey una verified thevadiya ah approve pani una oothutu thane irukaga,English,whatsapp,,
Enga da karthi kuda paduka potiya,enga karthi kuda paduka potiya,Tanglish,whatsapp,,
Nee thane top tier item anga,nee thane top tier item anga,English,whatsapp,,
Neeye oru potta thanda,neeye oru potta thanda,English,whatsapp,,
"Epo da normal human being ah vaala pora, thevadiya maariye irukatha da",epo normal human vaala pora thevadiya maariye irukatha,Tanglish,whatsapp,,
Bitch,bitch,English,whatsapp,,
Bala Selected Doi,bala selected doi,English,whatsapp,,
Reference lam venam da monthly 1k or 500 anupu,reference lam venam da monthly 1k 500 anupu,English,whatsapp,,
Next month,next month,English,whatsapp,,
Pg bus travels kea 12 acchuda,pg bus travels kea 12 acchuda,English,whatsapp,,
Lcu illa da,lcu illa,Tanglish,whatsapp,,
"Office la orruthan kuptu, nalla illa nu sollranda",office orruthan kuptu nalla illa sollranda,Tanglish,whatsapp,,
1st half slow ah pogum,1st half slow ah pogum,English,whatsapp,,
Mathan ae code send panu fa,mathan ae code send panu fa,English,whatsapp,,
Dei lavade phone edu da item kaara thaiyolo,lavade phone edu item kaara thaiyolo,Tanglish,whatsapp,,
Pubg ஆல் பாதிக்கபட்ட நபர்கள்,Pubg ஆல் பாதிக்கபட்ட நபர்கள்,Tamil,whatsapp,,
All clear,clear,English,whatsapp,,
Nalla erukaen da,nalla erukaen,Tanglish,whatsapp,,
Phone eduka matran <This message was edited>,phone eduka matran message edited,English,whatsapp,,
2.5 ah ila evlo da,ila evlo,Tanglish,whatsapp,,
Dei evlo da fees uh ?,evlo fees uh,Tanglish,whatsapp,,
Yanna da onume Puriyala,yanna onume puriyala,Tanglish,whatsapp,,
Earphone,earphone,English,whatsapp,,
Evlo da fees uh ?,evlo fees uh,Tanglish,whatsapp,,
"Varuthu , website la paatha crct ah theriyum",varuthu website la paatha crct ah theriyum,English,whatsapp,,
Pussy privilege,pussy privilege,English,whatsapp,,
2150 if one paper waved,2150 one paper waved,English,whatsapp,,
"Anney power use panitaru da thols , athu tha… inimey annan tha pooley",anney power use panitaru da thols athu tha inimey annan tha pooley,English,whatsapp,,
Intha sem etha paper,intha sem etha paper,English,whatsapp,,
No missed and improvement test,missed improvement test,English,whatsapp,,
November 3 thott model,november thott model,English,whatsapp,,
nee it vera aalunga bro,nee vera aalunga,Tanglish,whatsapp,,
Happy birthday @⁨Clg RaGaVaN⁩,happy birthday clg ragavan,English,whatsapp,,
Na ippo tha machi thooga poren,na ippo tha machi thooga poren,English,whatsapp,,
Happy birthday machi✨,happy birthday machi,English,whatsapp,,
Happy Birthday da 🫂@⁨Clg RaGaVaN⁩,happy birthday da clg ragavan,English,whatsapp,,
Thanks guys🙏,thanks guys,English,whatsapp,,
Happy Birthday da @⁨Clg RaGaVaN⁩ ✨🎉,happy birthday da clg ragavan,English,whatsapp,,
Happy Birthday da @⁨Clg RaGaVaN⁩ 🎉🎂,happy birthday da clg ragavan,English,whatsapp,,
Oh sari da machi,machi,Tanglish,whatsapp,,
That is the answer for your question,answer question,English,whatsapp,,
Machi advance thara sollu,machi advance thara sollu,English,whatsapp,,
Those who are doing internship also should attend this without fail,internship also attend without fail,English,whatsapp,,
Ena da ivana vechitu elavu pundaiya iruku,ena ivana vechitu elavu pundaiya iruku,Tanglish,whatsapp,,
Intern nama than panurom aprm iitm boys,intern nama panurom aprm iitm boys,English,whatsapp,,
Thevadiya jagan da avan,thevadiya jagan avan,Tanglish,whatsapp,,
Nee attend pandriya,nee attend pandriya,English,whatsapp,,
Neega solrathu tha,neega solrathu tha,English,whatsapp,,
Jintha potta,jintha potta,English,whatsapp,,
Athuku nama office la poi pesanummm,athuku nama office la poi pesanummm,English,whatsapp,,
Thrla machi en aalu epo varalo atha poruthu thaan,thrla machi en aalu epo varalo atha poruthu thaan,English,whatsapp,,
Padiga da padiga da nuuuu solren ketigala daa,padiga padiga nuuuu solren ketigala daa,Tanglish,whatsapp,,
Enna da punda,enna punda,Tanglish,whatsapp,,
Enna da athula mistake,enna athula mistake,Tanglish,whatsapp,,
Dai kuthi enna da solla vara,dai kuthi enna solla vara,Tanglish,whatsapp,,
Shit fine specimen,shit fine specimen,English,whatsapp,,
In Home,home,English,whatsapp,,
Thursday,thursday,English,whatsapp,,
Friday any works irutha finish pananum like no due..,friday works irutha finish pananum like due,English,whatsapp,,
Hostel la outpass tharala,hostel la outpass tharala,English,whatsapp,,
Final year project report submission,final year project report submission,English,whatsapp,,
"Sootha adika kooptanga, avinga sootha adichu amchuvitten <This message was edited>",sootha adika kooptanga avinga sootha adichu amchuvitten message edited,English,whatsapp,,
Conference,conference,English,whatsapp,,
Ama da mapla,ama mapla,Tanglish,whatsapp,,
Course is completed any certificate okay 👍🏻,course completed certificate okay,English,whatsapp,,
Completed course la entha certificate naalum okay ahm,completed course la entha certificate naalum okay ahm,English,whatsapp,,
Direct meaning 😂,direct meaning,English,whatsapp,,
Dai athu puriyuthu but elarum completed course count thanae podrom,dai athu puriyuthu elarum completed course count thanae podrom,English,whatsapp,,
Complete na certificate erukurathu thanae,complete na certificate erukurathu thanae,English,whatsapp,,
Theriyala da college grp kula type pana phone hang aaguthu,theriyala college grp kula type pana phone hang aaguthu,Tanglish,whatsapp,,
Your Phone is allergetic for clg grp pola,phone allergetic clg grp pola,English,whatsapp,,
Naney allergic tha dept ku,naney allergic tha dept ku,English,whatsapp,,
Theriyum da en junni,theriyum en junni,Tanglish,whatsapp,,
Enna da achi unnaku,enna achi unnaku,Tanglish,whatsapp,,
Machi ellam mark evlo da,machi ellam mark evlo,Tanglish,whatsapp,,
Otha,otha,English,whatsapp,,
Sari vanthu ombu,vanthu ombu,Tanglish,whatsapp,,
Awesome bro 👍🏿,awesome bro,English,whatsapp,,
B illana B + varum da <This message was edited>,illana varum da message edited,English,whatsapp,,
Varathu varathu,varathu varathu,English,whatsapp,,
Ena da enenamo Iruku 😂,ena enenamo iruku,Tanglish,whatsapp,,
Illa da,illa,Tanglish,whatsapp,,
Machi avan peru jegaynesan da,machi avan peru jegaynesan,Tanglish,whatsapp,,
Juspay drive,juspay drive,English,whatsapp,,
2girls 1 cup maojjj ae fanatsyy tha,2girls cup maojjj ae fanatsyy tha,English,whatsapp,,
Aprom enna pundaiku da enga varinga,aprom enna pundaiku enga varinga,Tanglish,whatsapp,,
poi reels paru da punda,poi reels paru punda,Tanglish,whatsapp,,
Illa da on sotta kunja,illa sotta kunja,Tanglish,whatsapp,,
Sotta kunju than nalla erukum nu avan solran,sotta kunju nalla erukum avan solran,Tanglish,whatsapp,,
result published nu mail vanthucha,result published nu mail vanthucha,English,whatsapp,,
Everyone are asked to submit the feedback from in the below form,everyone asked submit feedback form,English,whatsapp,,
peak of unemployment,peak unemployment,English,whatsapp,,
"Punda, nee msg panitu fast ah delete panita ana athukum replay panom la athu thanda peak of unemployment nu sonen",punda nee msg panitu fast ah delete panita ana athukum replay panom la athu thanda peak unemployment nu sonen,English,whatsapp,,
Manoj is in love but I can't prove it,manoj love prove,English,whatsapp,,
Theriyum da Caller tune ketiya,theriyum caller tune ketiya,Tanglish,whatsapp,,
Nithish,nithish,English,whatsapp,,
Ne tha tha da vijay ahh ommbura,ne tha tha da vijay ahh ommbura,English,whatsapp,,
Illa yathukku sir love song Caller tune vachinka,illa yathukku sir love song caller tune vachinka,Tanglish,whatsapp,,
En love song committed tha kekanuma,en love song committed tha kekanuma,English,whatsapp,,
Avan bjp supporter da,avan bjp supporter,Tanglish,whatsapp,,
#manojcommited,manojcommited,English,whatsapp,,
Ne enna vena solliko ennaku enna poda,ne enna vena solliko ennaku enna poda,Tanglish,whatsapp,,
I am not in hostel,hostel,English,whatsapp,,
Ama da ana avan kaeturukan,ama ana avan kaeturukan,Tanglish,whatsapp,,
Name remove pandrathu pathi,name remove pandrathu pathi,English,whatsapp,,
Iruku da en junni,iruku en junni,Tanglish,whatsapp,,
Deiii kena pundaingala yenna da aachu,deiii kena pundaingala yenna aachu,Tanglish,whatsapp,,
"Na , thols lam varom heal panu",na thols lam varom heal panu,English,whatsapp,,
Christanavaney disturb seiyathey avana assault aaga enni vidatheyy,christanavaney disturb seiyathey avana assault aaga enni vidatheyy,English,whatsapp,,
Holy shit😂,holy shit,English,whatsapp,,
@⁨Clg Ahamed Meeran Dhanish⁩ intha 9 satan ah veliya thorathuga bhaii,clg ahamed meeran dhanish intha satan ah veliya thorathuga bhaii,English,whatsapp,,
@⁨Thols💫 Kuchi Naai⁩ yara da oopa ? Inga,thols kuchi naai yara oopa inga,Tanglish,whatsapp,,
Tami theriyum thane ?,tami theriyum thane,English,whatsapp,,
Gotha ?,gotha,English,whatsapp,,
En da sonathey thirupi thirupi solitu iruka thevadiya satan,en da sonathey thirupi thirupi solitu iruka thevadiya satan,English,whatsapp,,
Yedhaavudhu nalla kodiya paathu neeye thongiko onta dhaan punda Iruku,yedhaavudhu nalla kodiya paathu neeye thongiko onta dhaan punda iruku,Tanglish,whatsapp,,
Paathiya onnoda experience eh sollura,paathiya onnoda experience eh sollura,English,whatsapp,,
Na oomba maaten da una maari thevadiya tha vanthu oombu,oomba maaten una maari thevadiya tha vanthu oombu,Tanglish,whatsapp,,
"Dei electric eel ah un pundai la vitukoo, shock ley iru da punda manaveyy",electric eel un pundai vitukoo shock ley iru punda manaveyy,Tanglish,whatsapp,,
"Unaku rubber kunju kuda ila rubber pundaiya vachitu , thevadiya thanama road la suthitu iruka thane da , puluu kita poi oole vaangu",unaku rubber kunju kuda ila rubber pundaiya vachitu thevadiya thanama road suthitu iruka thane puluu kita poi oole vaangu,Tanglish,whatsapp,,
"Naai kita ole vaagitu , naai kudi la maatikita thane da nee ? En da naai kuda thevadiya thanam panuraaa",naai kita ole vaagitu naai kudi maatikita thane nee en naai kuda thevadiya thanam panuraaa,Tanglish,whatsapp,,
"Thevadiya un pundai la zoom ae iruku da , un pundai la vaai vaikatha animals ae ila da thevaidya munda , high class munda nu ranking la iruka nee",thevadiya un pundai zoom ae iruku un pundai vaai vaikatha animals ae ila thevaidya munda high class munda ranking iruka nee,Tanglish,whatsapp,,
Deii vera yosichu sollu naa solradhaiyey solra paaru,deii vera yosichu sollu naa solradhaiyey solra paaru,Tanglish,whatsapp,,
"Un pundaiya paaru da ole vaagi vaagi , ketu poiruchu vera pundaiya paaru. Una oothu oothu aii pora pipeline lam un punda la connect aagi athu la aii varuthu nu customer solraga",un pundaiya paaru ole vaagi vaagi ketu poiruchu vera pundaiya paaru una oothu oothu aii pora pipeline lam un punda connect aagi athu aii varuthu customer solraga,Tanglish,whatsapp,,
Oru manidhanaaala yepudii ipdi animals kitta oolu vaanga mudiyum nu nirubichuta da kena punda,oru manidhanaaala yepudii ipdi animals kitta oolu vaanga mudiyum nirubichuta kena punda,Tanglish,whatsapp,,
"Nirumi punda , un pundai la thanda aids corona lam vanthuchuu. Chinsese kaaran kita ole vaangituu enga da thediya maari pesitu irukaa",nirumi punda un pundai thanda aids corona lam vanthuchuu chinsese kaaran kita ole vaangituu enga thediya maari pesitu irukaa,Tanglish,whatsapp,,
Dei pulu kita ole vaaagitu ena da siripu da thevaidya ?,pulu kita ole vaaagitu ena siripu thevaidya,Tanglish,whatsapp,,
Nee dhaan china la irukura vavaal pool yellaathaiyum sappitu Inga vandhu yellaa poolaiyum sappii corona parappi vittuta da punda,nee dhaan china irukura vavaal pool yellaathaiyum sappitu inga vandhu yellaa poolaiyum sappii corona parappi vittuta punda,Tanglish,whatsapp,,
Nee sonthama yosika time tharenn,nee sonthama yosika time tharenn,English,whatsapp,,
Aprm ?,aprm,English,whatsapp,,
Vera yenna vela 😂,vera yenna vela,Tanglish,whatsapp,,
Evlo venum solu romba oombatha pouthum di munda … mudiyala da en suni ah romba kadikura,evlo venum solu romba oombatha pouthum munda mudiyala en suni romba kadikura,Tanglish,whatsapp,,
Tharen,tharen,English,whatsapp,,
Evlo neram da ippudi oombitu irupa ?,evlo neram ippudi oombitu irupa,Tanglish,whatsapp,,
"Dei pulu munda , vaai kuthi lam kilichiruven da suni romba oombitu irkathaaaaa",pulu munda vaai kuthi lam kilichiruven suni romba oombitu irkathaaaaa,Tanglish,whatsapp,,
Romba oombatha da pothum poi vera pool ah kadichitu iruuuu,romba oombatha pothum poi vera pool kadichitu iruuuu,Tanglish,whatsapp,,
Nee Vera animal kooda poi paduuu,nee vera animal kooda poi paduuu,Tanglish,whatsapp,,
Dei pothum da 🤣 romba nerama elar poolaiyum oombitey iruka pothum da,pothum romba nerama elar poolaiyum oombitey iruka pothum,Tanglish,whatsapp,,
"Una pool ae ila da punda, pulu mundaaa en di unachu susu aee suthu la irudhu thane varumm",una pool ae ila punda pulu mundaaa en unachu susu aee suthu irudhu thane varumm,Tanglish,whatsapp,,
Potta naai periods ooda irukum athu kundi ah sappu po inga romba neram en pool ah oombatha,potta naai periods ooda irukum athu kundi sappu po inga romba neram en pool oombatha,Tanglish,whatsapp,,
Indha paaru again again maathi solra paaru onaku punda dhaan Iruku sunni illa onnoda periya pundaila naa othutu iruken andha illusion la onaku sunni Iruka maari theriyudhu,indha paaru maathi solra paaru onaku punda dhaan iruku sunni illa onnoda periya pundaila naa othutu iruken andha illusion onaku sunni iruka maari theriyudhu,Tanglish,whatsapp,,
"Illusion la nee thanda iruka ? Pool ah sappu da na, sutha sapitu pee ah urinjitu iruka da thevadiya pundaaa, semi soli pee venum nu ketu en sutha sapitu irukaaa",illusion nee thanda iruka pool sappu sutha sapitu pee urinjitu iruka thevadiya pundaaa semi soli pee venum ketu en sutha sapitu irukaaa,Tanglish,whatsapp,,
Yenna pannadhaan da onnoda pundai satisfaction aagum,yenna pannadhaan onnoda pundai satisfaction aagum,Tanglish,whatsapp,,
Illusion create aaga arambichuduchu again😂,illusion create aaga arambichuduchu,English,whatsapp,,
En pee ah thinu seri airum,en pee ah thinu seri airum,English,whatsapp,,
Jeffin na suni ilatha motta munda nu oorukey theriyum da thevadiyaa,jeffin suni ilatha motta munda oorukey theriyum thevadiyaa,Tanglish,whatsapp,,
Nee oru ooru ootha baadu nu oorukey theriyum naa sollita Iruka mudiyum adhellaam😂,nee oru ooru ootha baadu oorukey theriyum naa sollita iruka mudiyum adhellaam,Tanglish,whatsapp,,
"Ama da , unaku pool iruku nu elaraiyum namba vachi romba nerama oombitu iruka",ama unaku pool iruku elaraiyum namba vachi romba nerama oombitu iruka,Tanglish,whatsapp,,
Sili munda da nee poda poi oormaa aalu,sili munda nee poda poi oormaa aalu,Tanglish,whatsapp,,
Evlo da neram unaku pool iruku nu aaluguva 🥲,evlo neram unaku pool iruku aaluguva,Tanglish,whatsapp,,
Cheri da unaku pool iruku da poda,cheri unaku pool iruku poda,Tanglish,whatsapp,,
Adhuvum chameleon kittalaam poi pudhusu pudhusaana color la dhaan yennoda pundaila oolu vaanganum nu vaanguriyaamey daa,adhuvum chameleon kittalaam poi pudhusu pudhusaana color dhaan yennoda pundaila oolu vaanganum vaanguriyaamey daa,Tanglish,whatsapp,,
"Cheri cheri da aalatha , innoru naal nerla vanthu oombiko",cheri cheri aalatha innoru naal nerla vanthu oombiko,Tanglish,whatsapp,,
Seri seri nee Adutha time pudhusa yedhaavudhu kandupiduchu vandhu sollu😂,nee adutha time pudhusa yedhaavudhu kandupiduchu vandhu sollu,Tanglish,whatsapp,,
Thevadiya enaku vela iruku da nee poi elaru kitiyum ole vaangitu iru da,thevadiya enaku vela iruku nee poi elaru kitiyum ole vaangitu iru,Tanglish,whatsapp,,
Po po better luck next time 😜😜😁,po po better luck next time,English,whatsapp,,
Nee ole vaangi kuda pass airuva da cuz nee top class munda da,nee ole vaangi kuda pass airuva cuz nee top class munda,Tanglish,whatsapp,,
Area la neriya potta naai ku periods irukam.. jeffin vaai tha athuku lam stayfree whisper ahm 🤣.. poi nala uri da munda <This message was edited>,area neriya potta naai ku periods irukam jeffin vaai tha athuku lam stayfree whisper ahm poi nala uri munda message edited,Tanglish,whatsapp,,
shivraj pathi pesathinga da inga than irukan,shivraj pathi pesathinga inga irukan,Tanglish,whatsapp,,
@⁨Nithish Ksr⁩,nithish ksr,English,whatsapp,,
Avan pool ah pudichi,avan pool ah pudichi,English,whatsapp,,
That 400,400,English,whatsapp,,
Athu tha mall tha pandra nu sollita machi 😂,athu tha mall tha pandra nu sollita machi,English,whatsapp,,
Ne avala patho <This message was edited>,ne avala patho message edited,English,whatsapp,,
Na clean shave la iruken,na clean shave la iruken,English,whatsapp,,
Machi yaravathu python mid level project vechuruntha send pannuga da,machi yaravathu python mid level project vechuruntha send pannuga,Tanglish,whatsapp,,
Queen bathing Area,queen bathing area,English,whatsapp,,
Enga da irukinga ?,enga irukinga,Tanglish,whatsapp,,
Season,season,English,whatsapp,,
Ila da yaaro vanguna maari nabagam...aana yaarunu therila,ila yaaro vanguna maari nabagam aana yaarunu therila,Tanglish,whatsapp,,
Theriyum da,theriyum,Tanglish,whatsapp,,
ஆடளும் பாடலும் நீகழ்ச்சி,ஆடளும் பாடலும் நீகழ்ச்சி,Tamil,whatsapp,,
Enda samanthamae illama enna adikuringa ?,enda samanthamae illama enna adikuringa,Tanglish,whatsapp,,
Caption: Girls only know why they avoid auto rides,caption girls know avoid auto rides,English,whatsapp,,
User not found,user found,English,whatsapp,,
Mathi send panni tholanjuran,mathi send panni tholanjuran,English,whatsapp,,
Machi epdi iruku,machi epdi iruku,Tanglish,whatsapp,,
1st half ultimate,1st half ultimate,English,whatsapp,,
Right uh,right uh,English,whatsapp,,
Nee over hyped ah poirukka twitter la reviews lam 4/4.5 irukku da,nee hyped poirukka twitter reviews lam irukku,Tanglish,whatsapp,,
4/5 tharalam,tharalam,English,whatsapp,,
2nd half emotional driven but dragged,2nd half emotional driven dragged,English,whatsapp,,
Rightu,rightu,English,whatsapp,,
Santhosh-Man,santhosh man,English,whatsapp,,
Gmail account <This message was edited>,gmail account message edited,English,whatsapp,,
Onnu illa macchi plagiarism check pannathu Muthu danish RaGaVaN keata antha grpla potea,onnu illa macchi plagiarism check pannathu muthu danish ragavan keata antha grpla potea,English,whatsapp,,
Intha padam ae super ah iruku da,intha padam ae super iruku,Tanglish,whatsapp,,
Dei mothama leak panranunga da,mothama leak panranunga,Tanglish,whatsapp,,
"Cameo,climax,intro, Thalapathy kacheri song uh",cameo climax intro thalapathy kacheri song uh,English,whatsapp,,
Antha leak pannuruvan ta motha padam um irukku da,antha leak pannuruvan ta motha padam um irukku,Tanglish,whatsapp,,
Serious ah da avan touch pannuran full runtime um theriyuthu,serious avan touch pannuran full runtime um theriyuthu,Tanglish,whatsapp,,
Better than beast,better beast,English,whatsapp,,
Avlo thaan da punda tamilmv la irukku😂,avlo thaan punda tamilmv irukku,Tanglish,whatsapp,,
Aana avanta full padam um irukku da machi,aana avanta full padam um irukku machi,Tanglish,whatsapp,,
Bro im watching it on theatre,bro im watching theatre,English,whatsapp,,
Harbour blast panurathu tha katha,harbour blast panurathu tha katha,English,whatsapp,,
Nithish thooku poda poran,nithish thooku poda poran,English,whatsapp,,
Machi varumbothu download pannitu vada,machi varumbothu download pannitu vada,English,whatsapp,,
Yan poola ombhatha,yan poola ombhatha,English,whatsapp,,
Downloading,downloading,English,whatsapp,,
Avlo tha,avlo tha,English,whatsapp,,
Downloaded 96%,downloaded 96,English,whatsapp,,
Morning 8 mani show,morning mani show,English,whatsapp,,
Nalla than da eruku,nalla eruku,Tanglish,whatsapp,,
DMK thayoli,dmk thayoli,English,whatsapp,,
Machiii vijay fans ajith fans lam aduthu da first ipdi leak aagirukurathu thappu nu ungalukeyy therium la da so itha support pandratha vidunga da yaarukkum share pannadhinga😊 <This message was edited>,machiii vijay fans ajith fans lam aduthu first ipdi leak aagirukurathu thappu ungalukeyy therium itha support pandratha vidunga yaarukkum share pannadhinga message edited,Tanglish,whatsapp,,
Dei leak pannadhe avanunga thaan da,leak pannadhe avanunga thaan,Tanglish,whatsapp,,
Enga aaley campa kudi themba iru nu solitu irukan nee vera,enga aaley campa kudi themba iru solitu irukan nee vera,Tanglish,whatsapp,,
Joke of this year 👍,joke year,English,whatsapp,,
Dei hd clip leak aairukku da,hd clip leak aairukku,Tanglish,whatsapp,,
Ithalam thalaivaa release apove paathaachi,ithalam thalaivaa release apove paathaachi,English,whatsapp,,
I think you guys respect the effort of creators but….👍🏻,think guys respect effort creators,English,whatsapp,,
Atha thanda solren,atha thanda solren,English,whatsapp,,
1st half finish,1st half finish,English,whatsapp,,
Pooja va poi aunty nu solitan da 🥲,pooja poi aunty solitan,Tanglish,whatsapp,,
Illa nethu konjam pathen,illa nethu konjam pathen,Tanglish,whatsapp,,
Dei link lam thookitanunga da,link lam thookitanunga,Tanglish,whatsapp,,
Nallathu,nallathu,English,whatsapp,,
Respect 💯🫂,respect,English,whatsapp,,
En da moan pandra nalla pesu da lavade,en moan pandra nalla pesu lavade,Tanglish,whatsapp,,
Inthada thols uh,inthada thols uh,English,whatsapp,,
Manasa thethikada machi election nambuluthu thaan 🇪🇸,manasa thethikada machi election nambuluthu thaan,English,whatsapp,,
Illa da padam nalla illa athan paakala,illa padam nalla illa athan paakala,Tanglish,whatsapp,,
Don't share anymore,share anymore,English,whatsapp,,
Bro link ketanga bro,link ketanga,Tanglish,whatsapp,,
Dei anilgala unga anna thanda padam ae leak panathu puritha ilaiya ??,anilgala unga thanda padam ae leak panathu puritha ilaiya,Tanglish,whatsapp,,
Add members kudutha contact dhan varuthu,add members kudutha contact dhan varuthu,English,whatsapp,,
Enna da ithu,enna ithu,Tanglish,whatsapp,,
athu oru flop movie atha vechi ne matikatha 🤣,athu oru flop movie atha vechi ne matikatha,English,whatsapp,,
that is not rerelease,rerelease,English,whatsapp,,
Antha record onga AK vala break pannave mutiyathu,antha record onga ak vala break pannave mutiyathu,English,whatsapp,,
Athu nalla padam da😂,athu nalla padam,Tanglish,whatsapp,,
First 300crs movie thanga,first 300crs movie thanga,English,whatsapp,,
Collection record sollra,collection record sollra,English,whatsapp,,
"oh unga pundanayagan , olenayagan , peenayagan, kunjunayagan, kanjinayagan mass da",unga pundanayagan olenayagan peenayagan kunjunayagan kanjinayagan mass,Tanglish,whatsapp,,
Hollywood remake thaana,hollywood remake thaana,English,whatsapp,,
machi antha aunty scence irrukala <This message was edited>,machi antha aunty scence irrukala message edited,English,whatsapp,,
"lokesh , nelson , atlee cameo mass tha",lokesh nelson atlee cameo mass tha,English,whatsapp,,
Mankatha maari vera yaathachi padam irukka AK ta,mankatha maari vera yaathachi padam irukka ak ta,Tanglish,whatsapp,,
ne enna pesanalum movie nalla illa avolo tha,ne enna pesanalum movie nalla illa avolo tha,Tanglish,whatsapp,,
antha last dance irrukala athula vathi coming varuthu 😂,antha last dance irrukala athula vathi coming varuthu,English,whatsapp,,
You will arrest bye,arrest bye,English,whatsapp,,
Gbu full and full copy thaaa own ahh athula story ehh illa vitta adutha epstein ehh avaruthaan dii sollama poningaey athuku varaikum sandhosam,gbu full full copy thaaa ahh athula story ehh illa vitta adutha epstein ehh avaruthaan dii sollama poningaey athuku varaikum sandhosam,English,whatsapp,,
Respect all the hardworkers every scene is a dream why bro🙏,respect hardworkers every scene dream,Tanglish,whatsapp,,
Ama da unga annan tha enga thala Suni ah oombuna video tha,ama unga annan tha enga thala suni oombuna video tha,Tanglish,whatsapp,,
Dont let them bark,dont let bark,English,whatsapp,,
Ole them,ole,English,whatsapp,,
First fans ku respect thara sollu AK va,first fans ku respect thara sollu ak va,English,whatsapp,,
Deii AK ku director ehh illa da <This message was edited>,deii ak ku director ehh illa message edited,Tanglish,whatsapp,,
Yapatiyum movie flop tha,yapatiyum movie flop tha,English,whatsapp,,
Yaaru da sonna 😂😂😂 veliya sollidatha da kumbal la adichuruvanga😂😂😂,yaaru sonna veliya sollidatha kumbal adichuruvanga,Tanglish,whatsapp,,
Unna alaporathu vijay tha,unna alaporathu vijay tha,English,whatsapp,,
Vijay tittle card>>> AK whole movie's,vijay tittle card ak whole movie,English,whatsapp,,
Anna cm anathum AK ku remote car irukku,cm anathum ak ku remote car irukku,Tanglish,whatsapp,,
don't worry,worry,English,whatsapp,,
Punda oorukeyy therium 😂😂😂,punda oorukeyy therium,English,whatsapp,,
Ava yappa field la iruntha,ava yappa field la iruntha,English,whatsapp,,
Mankatha orey movie tha,mankatha orey movie tha,English,whatsapp,,
Punda apdiyee maathitan solla vandhatha ponit illa nu…ajith ku vijay iruka peak ku poganum nu romba aasa nu avureyy solirukaru,punda apdiyee maathitan solla vandhatha ponit illa ajith ku vijay iruka peak ku poganum romba aasa avureyy solirukaru,Tanglish,whatsapp,,
Yanakkum time illa solla,yanakkum time illa solla,Tanglish,whatsapp,,
Sari vidu kasta padatha AK onum pudungaka nu ungalukeyy therium sari vidunga da alugathinga,vidu kasta padatha ak onum pudungaka ungalukeyy therium vidunga alugathinga,Tanglish,whatsapp,,
"Our main goal is Secular Social Justice,Political Transformation,Administrative & Social Reforms,Pirapukkum Ella Uyirkkum",main goal secular social justice political transformation administrative social reforms pirapukkum ella uyirkkum,English,whatsapp,,
Corruption iruku but development tu iruku bcs they have experience and connection only state in india to get double digit gdp growths,corruption iruku development tu iruku bcs experience connection state india get double digit gdp growths,Tanglish,whatsapp,,
This also vijay content tha,also vijay content tha,English,whatsapp,,
How is tvk going to bring development atha pathi engayume peslaye nothing about foreign investments and industry subsidies,tvk going bring development atha pathi engayume peslaye nothing foreign investments industry subsidies,English,whatsapp,,
"Ama da enaku aidmk dmk elam friends tha irukaga , ana inga pesurathu tvk aka vijay",ama enaku aidmk dmk elam friends tha irukaga ana inga pesurathu tvk aka vijay,Tanglish,whatsapp,,
Sad to hear,sad hear,English,whatsapp,,
Ama da anna gangbang,ama gangbang,Tanglish,whatsapp,,
Guys Nithish going reach his mutu limit for today,guys nithish going reach mutu limit today,English,whatsapp,,
#westandwithvijay,westandwithvijay,English,whatsapp,,
Points yoshichiya,points yoshichiya,English,whatsapp,,
Unna mari enngaluku work illaya <This message was edited>,unna mari enngaluku work illaya message edited,English,whatsapp,,
Enga side iruku nan biased ah sollirkalam,enga side iruku nan biased sollirkalam,Tanglish,whatsapp,,
Maranthutan avanga antha ooru majority caste aama kelvipatten,maranthutan avanga antha ooru majority caste aama kelvipatten,Tanglish,whatsapp,,
I was expecting a muttu,expecting muttu,English,whatsapp,,
tvk tha,tvk tha,English,whatsapp,,
Na oru thondana answer sollra,na oru thondana answer sollra,English,whatsapp,,
Machi padame 7 gb pudichiruchu da storage illayam <This message was edited>,machi padame gb pudichiruchu da storage illayam message edited,English,whatsapp,,
Caste ta appo madhurai yaaru covaiku yaaru irukka ethula,caste ta appo madhurai yaaru covaiku yaaru irukka ethula,Tanglish,whatsapp,,
Nan ketathu antha constituency,nan ketathu antha constituency,English,whatsapp,,
Caste vote ah vidunga da tvk voda first objective eh fans vote thaan da,caste vote vidunga tvk voda first objective fans vote thaan,Tanglish,whatsapp,,
Minors,minors,English,whatsapp,,
It's my opinion,opinion,English,whatsapp,,
Elarumey athey maari opinion ah tha solraga ney,elarumey athey maari opinion ah tha solraga ney,English,whatsapp,,
Dosa with sambar and boiled egg machi vaa sapduvom,dosa sambar boiled egg machi vaa sapduvom,English,whatsapp,,
Why da evlo sanda,evlo sanda,Tanglish,whatsapp,,
Both side um opinion kaekanum da nithish,side um opinion kaekanum da nithish,English,whatsapp,,
